Day Ahead Market LMPs
07/16/2011

,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
CONS.RENAIGEN1,Gennode,MCC,4.41,8.41,9.47,9.6,9.71,9.52,2.96,1.11,2.2,.78,1.24,.41,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.9,3.19,1.55,.64,3.98
CONS.RENAIGEN2,Gennode,MCC,4.41,8.41,9.47,9.6,9.71,9.52,2.96,1.11,2.2,.78,1.24,.41,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.9,3.19,1.55,.64,3.98
CONS.RENAIGEN3,Gennode,MCC,4.41,8.41,9.47,9.6,9.71,9.52,2.96,1.11,2.2,.78,1.24,.41,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.9,3.19,1.55,.64,3.98
CONS.RENAIGEN4,Gennode,MCC,4.41,8.41,9.47,9.6,9.71,9.52,2.96,1.11,2.2,.78,1.24,.41,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.9,3.19,1.55,.64,3.98
CONS.SCWND1,Gennode,MCC,4.43,8.45,9.52,9.65,9.76,9.57,2.97,1.12,2.21,.78,1.24,.42,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.55,.64,3.99
CONS.SCWND2,Gennode,MCC,4.43,8.45,9.52,9.65,9.76,9.57,2.97,1.12,2.21,.78,1.24,.42,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.55,.64,3.99
CONS.SELC,Loadzone,MCC,4.17,7.9,8.93,9.12,9.18,8.92,2.87,1.11,2.2,.77,1.24,1.32,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.SESB,Loadzone,MCC,4.16,7.88,8.91,9.09,9.16,8.9,2.86,1.11,2.2,.77,1.24,1.33,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.SPRTN,Loadzone,MCC,4.13,7.82,8.84,9.03,9.1,8.83,2.85,1.11,2.2,.77,1.24,1.4,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.STRAITS,Gennode,MCC,4.21,7.98,9,9.14,9.25,9.01,2.87,1.1,2.19,.77,1.23,1.6,1.08,2.72,2.38,2.9,3.02,1.97,1.59,1.89,3.18,1.54,.63,3.96
CONS.TC,Loadzone,MCC,4.43,8.45,9.52,9.65,9.76,9.57,2.97,1.12,2.21,.78,1.24,.42,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.55,.64,3.99
CONS.TC.HSCW,Gennode,MCC,4.43,8.45,9.52,9.65,9.76,9.57,2.97,1.12,2.21,.78,1.24,.42,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.55,.64,3.99
CONS.THETFORD1,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD2,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD3,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD4,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD5,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD6,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD7,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD8,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.THETFORD9,Gennode,MCC,3.71,6.95,7.88,8.04,8.15,7.79,2.65,1.07,2.13,.76,1.21,3.58,1.06,2.68,2.35,2.85,2.97,1.94,1.56,1.86,3.14,1.52,.63,3.87
CONS.TIPPY,Gennode,MCC,4.58,8.75,9.85,9.97,10.09,9.93,3.04,1.12,2.23,.78,1.25,.42,1.09,2.75,2.41,2.93,3.05,2,1.61,1.91,3.21,1.56,.64,4.02
CONS.VKLINCOLN,Gennode,MCC,4.03,7.6,8.59,8.74,8.85,8.56,2.79,1.09,2.17,.77,1.22,2.76,1.07,2.71,2.37,2.88,3,1.96,1.58,1.88,3.16,1.54,.63,3.93
CONS.VKMCBAIN,Gennode,MCC,4.51,8.61,9.7,9.82,9.93,9.76,3.01,1.12,2.22,.78,1.25,.42,1.09,2.74,2.4,2.92,3.05,1.99,1.6,1.9,3.21,1.56,.64,4.01
CONS.WEADOCK7,Gennode,MCC,3.8,7.12,8.07,8.23,8.34,8,2.69,1.08,2.14,.76,1.21,4.47,1.06,2.69,2.35,2.86,2.98,1.95,1.57,1.86,3.14,1.53,.63,3.89
CONS.WEADOCK8,Gennode,MCC,3.8,7.12,8.07,8.23,8.34,8,2.69,1.08,2.14,.76,1.21,4.46,1.06,2.69,2.35,2.86,2.98,1.95,1.57,1.86,3.14,1.53,.63,3.89
CONS.WEADOCKA,Gennode,MCC,3.8,7.12,8.07,8.23,8.34,8,2.69,1.08,2.14,.76,1.21,4.46,1.06,2.69,2.35,2.86,2.98,1.95,1.57,1.86,3.14,1.53,.63,3.89
CONS.WHITING1,Gennode,MCC,3.09,5.64,6.47,6.67,6.77,6.25,2.41,1.06,2.11,.75,1.2,.4,1.06,2.68,2.35,2.85,2.98,1.94,1.56,1.86,3.14,1.52,.63,3.82
CONS.WHITING2,Gennode,MCC,3.09,5.64,6.47,6.67,6.77,6.25,2.41,1.06,2.11,.75,1.2,.4,1.06,2.68,2.35,2.85,2.98,1.94,1.56,1.86,3.14,1.52,.63,3.82
CONS.WHITING3,Gennode,MCC,3.09,5.64,6.47,6.67,6.77,6.25,2.41,1.06,2.11,.75,1.2,.4,1.06,2.68,2.35,2.85,2.98,1.94,1.56,1.86,3.14,1.52,.63,3.82
CONS.WHITINGA,Gennode,MCC,3.09,5.64,6.47,6.67,6.77,6.25,2.41,1.06,2.11,.75,1.2,.4,1.06,2.68,2.35,2.85,2.98,1.94,1.56,1.86,3.14,1.52,.63,3.82
CONS.WOLV,Loadzone,MCC,4.45,8.48,9.56,9.72,9.8,9.61,2.98,1.12,2.21,.78,1.24,.3,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.56,.64,4
CONS.WPMC,Loadzone,MCC,4.17,7.9,8.93,9.1,9.18,8.92,2.87,1.11,2.2,.77,1.24,1.22,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.WPSC_1.AZ,Hub,MCC,4.46,8.51,9.59,9.76,9.83,9.64,2.98,1.12,2.22,.78,1.24,.33,1.09,2.74,2.4,2.92,3.04,1.99,1.6,1.9,3.2,1.56,.64,4
CONS.WPSC_2.AZ,Hub,MCC,4.17,7.9,8.93,9.1,9.18,8.92,2.87,1.11,2.2,.77,1.24,1.23,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.WPSE,Loadzone,MCC,4.12,7.81,8.83,9.02,9.09,8.82,2.85,1.11,2.2,.77,1.24,1.25,1.08,2.73,2.39,2.91,3.03,1.98,1.6,1.89,3.19,1.55,.64,3.97
CONS.WVPA,Loadzone,MCC,3.59,6.69,7.61,7.8,7.89,7.49,2.62,1.09,2.15,.76,1.22,.85,1.07,2.71,2.37,2.88,3.01,1.96,1.58,1.88,3.17,1.54,.63,3.89
CONS.WVPA_1.AZ,Hub,MCC,3.56,6.63,7.55,7.74,7.83,7.42,2.61,1.09,2.15,.76,1.22,.82,1.07,2.71,2.37,2.88,3,1.96,1.58,1.88,3.17,1.54,.63,3.89
CONS.ZEELAND1A,Gennode,MCC,5.09,9.82,11,11.26,11.21,11.18,3.25,1.15,2.26,.79,1.26,-.82,1.1,2.77,2.43,2.96,3.08,2.02,1.63,1.92,3.24,1.58,.64,4.06
CONS.ZEELAND1B,Gennode,MCC,5.09,9.82,11,11.26,11.21,11.18,3.25,1.15,2.26,.79,1.26,-.82,1.1,2.77,2.43,2.96,3.08,2.02,1.63,1.92,3.24,1.58,.64,4.06
CONS.ZEELAND2A,Gennode,MCC,5.09,9.82,11,11.26,11.21,11.18,3.25,1.15,2.26,.79,1.26,-.82,1.1,2.77,2.43,2.96,3.08,2.02,1.63,1.92,3.24,1.58,.64,4.06
CONS.ZEELAND2B,Gennode,MCC,5.09,9.82,11,11.26,11.21,11.18,3.25,1.15,2.26,.79,1.26,-.82,1.1,2.77,2.43,2.96,3.08,2.02,1.63,1.92,3.24,1.58,.64,4.06
CONS.ZEELAND2C,Gennode,MCC,5.09,9.82,11,11.26,11.21,11.18,3.25,1.15,2.26,.79,1.26,-.82,1.1,2.77,2.43,2.96,3.08,2.02,1.63,1.92,3.24,1.58,.64,4.06
CPLE,Interface,MCC,1.38,1.83,2.01,2.1,2.08,1.21,1.2,.71,1.53,.61,.97,.32,.93,2.38,2.06,2.52,2.63,1.71,1.36,1.65,2.81,1.35,.56,2.96
CPLW,Interface,MCC,1.26,1.49,1.49,1.5,1.43,.57,.93,.58,1.31,.55,.88,.3,.88,2.27,1.96,2.39,2.51,1.62,1.28,1.57,2.68,1.29,.54,2.59
CSWS,Interface,MCC,2.42,2.52,1.16,.24,-.31,-.9,-.48,-.28,-.08,.15,.25,.04,.44,1.29,1.04,1.3,1.38,.85,.62,.86,1.59,.72,.13,.44
CWLD.AZ,Hub,MCC,.96,.58,-.33,-.94,-1.26,-1.52,-1.15,-.65,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.BLRG,Gennode,MCC,-6.01,-7.92,-5.72,-4.15,-3.14,-2.14,-1.94,-1.19,-1.16,-.17,-.32,-.27,-.1,.06,-.12,-.08,-.02,-.11,-.22,-.02,.23,.01,-.05,-.88
CWLD.CEC2CTG1,Gennode,MCC,.89,.48,-.39,-.98,-1.29,-1.53,-1.17,-.67,-.48,.07,.11,-.02,.34,1.05,.81,1.03,1.11,.66,.45,.69,1.33,.58,-.05,-.02
CWLD.CEC2CTG2,Gennode,MCC,.89,.48,-.39,-.98,-1.29,-1.53,-1.17,-.67,-.48,.07,.11,-.02,.34,1.05,.81,1.03,1.11,.66,.45,.69,1.33,.58,-.05,-.02
CWLD.CEC2CTG3,Gennode,MCC,.89,.48,-.39,-.98,-1.29,-1.53,-1.17,-.67,-.48,.07,.11,-.02,.34,1.05,.81,1.03,1.11,.66,.45,.69,1.33,.58,-.05,-.02
CWLD.CEC2CTG4,Gennode,MCC,.89,.48,-.39,-.98,-1.29,-1.53,-1.17,-.67,-.48,.07,.11,-.02,.34,1.05,.81,1.03,1.11,.66,.45,.69,1.33,.58,-.05,-.02
CWLD.CWLD,Loadzone,MCC,.97,.59,-.32,-.94,-1.26,-1.52,-1.15,-.65,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.FULT,Loadzone,MCC,.89,.48,-.39,-.98,-1.29,-1.53,-1.17,-.67,-.48,.07,.11,-.02,.34,1.05,.81,1.03,1.11,.66,.45,.69,1.33,.58,-.05,-.02
CWLD.PLANTD5,Gennode,MCC,.9,.5,-.38,-.97,-1.28,-1.52,-1.16,-.66,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.PLANTD6,Gennode,MCC,.9,.5,-.38,-.97,-1.28,-1.52,-1.16,-.66,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.PLANTD7,Gennode,MCC,.9,.5,-.38,-.97,-1.28,-1.52,-1.16,-.66,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.PLANTD8,Gennode,MCC,.9,.5,-.38,-.97,-1.28,-1.52,-1.16,-.66,-.48,.07,.11,-.02,.34,1.06,.82,1.04,1.12,.67,.46,.7,1.34,.59,-.05,-.02
CWLD.UMC,Loadzone,MCC,1.01,.64,-.29,-.91,-1.25,-1.51,-1.14,-.65,-.47,.07,.11,-.02,.34,1.06,.82,1.04,1.13,.68,.46,.7,1.34,.59,-.05,-.02
CWLP.AZ,Hub,MCC,.06,-.18,-.74,-.89,-1.24,-1.31,.15,.14,-.87,-.01,.17,.34,.95,2.44,2.12,2.58,2.7,1.75,1.4,1.69,2.87,1.38,.56,-2.13
CWLP.CWLP,Loadzone,MCC,.06,-.18,-.74,-.89,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.95,2.44,2.12,2.58,2.7,1.76,1.4,1.69,2.87,1.39,.56,-2.14
CWLP.DALLMA83,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.89,-.01,.17,.34,.96,2.45,2.12,2.59,2.71,1.76,1.4,1.69,2.88,1.39,.57,-2.16
CWLP.DALLMA84,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.89,-.01,.17,.34,.96,2.45,2.12,2.59,2.71,1.76,1.4,1.69,2.88,1.39,.57,-2.16
CWLP.DALLMA91,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.96,2.44,2.12,2.59,2.7,1.76,1.4,1.69,2.87,1.39,.56,-2.15
CWLP.DALLMA92,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.96,2.44,2.12,2.59,2.7,1.76,1.4,1.69,2.87,1.39,.56,-2.15
CWLP.FACTOR91,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.96,2.44,2.12,2.59,2.7,1.76,1.4,1.69,2.87,1.39,.57,-2.15
CWLP.GST,Loadzone,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.96,2.44,2.12,2.59,2.7,1.76,1.4,1.69,2.87,1.39,.56,-2.15
CWLP.INTERSA81,Gennode,MCC,.05,-.19,-.75,-.9,-1.26,-1.31,.18,.15,-.89,-.01,.17,.34,.96,2.46,2.14,2.6,2.72,1.77,1.41,1.7,2.89,1.4,.57,-2.19
CWLP.REYNOLS91,Gennode,MCC,.05,-.19,-.74,-.9,-1.25,-1.31,.16,.14,-.88,-.01,.17,.34,.96,2.44,2.12,2.59,2.7,1.76,1.4,1.69,2.87,1.39,.56,-2.15
CWLP.TEA_1.AZ,Hub,MCC,.04,-.2,-.76,-.92,-1.27,-1.33,.16,.15,-.9,-.01,.16,.34,.96,2.45,2.13,2.6,2.71,1.76,1.41,1.69,2.88,1.39,.57,-2.19
DECO.AZ,Hub,MCC,2.92,5.29,6.08,6.28,6.38,5.83,2.31,1.03,2.06,.74,1.18,.95,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.BLR1.DEMO,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BLR1.MPPA,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BLR2.DEMO,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BLR2.MPPA,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BRP11,Gennode,MCC,2.94,5.34,6.13,6.32,6.42,5.88,2.3,1.02,2.05,.73,1.17,1.66,1.03,2.61,2.28,2.78,2.9,1.89,1.52,1.81,3.06,1.48,.61,3.74
DECO.BRP121,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BRP122,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BRP13,Gennode,MCC,2.95,5.36,6.15,6.34,6.44,5.91,2.31,1.02,2.05,.73,1.17,1.63,1.03,2.62,2.28,2.78,2.9,1.89,1.52,1.81,3.07,1.48,.61,3.75
DECO.BSEDTE1,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.BSEDTE2,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.BSEDTE3,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.BSEDTE4,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.BSEDTE5,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.CC.DIG2,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.CC.DIG3,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.CCP11,Gennode,MCC,2.89,5.23,6.01,6.21,6.3,5.75,2.29,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.79,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.76
DECO.CMSM_1.AZ,Hub,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.CNE,Loadzone,MCC,2.92,5.29,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.COFAXP11,Gennode,MCC,2.94,5.34,6.13,6.33,6.43,5.88,2.33,1.04,2.08,.74,1.19,.39,1.05,2.65,2.32,2.82,2.94,1.92,1.54,1.84,3.11,1.51,.62,3.79
DECO.CONCK15,Gennode,MCC,2.89,5.23,6.01,6.21,6.3,5.75,2.29,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.79,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.76
DECO.CONCK16,Gennode,MCC,2.89,5.23,6.01,6.21,6.3,5.75,2.29,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.79,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.76
DECO.CROS,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.DAYTNP11,Gennode,MCC,2.83,5.1,5.88,6.08,6.18,5.6,2.28,1.03,2.07,.74,1.18,.39,1.05,2.65,2.31,2.81,2.93,1.92,1.54,1.83,3.1,1.5,.62,3.77
DECO.DBLE,Loadzone,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DEAN12,Gennode,MCC,2.94,5.34,6.13,6.32,6.42,5.88,2.3,1.02,2.05,.73,1.17,1.66,1.03,2.61,2.28,2.78,2.9,1.89,1.52,1.81,3.06,1.48,.61,3.74
DECO.DEAN34,Gennode,MCC,2.94,5.34,6.13,6.32,6.42,5.88,2.3,1.02,2.05,.73,1.17,1.66,1.03,2.61,2.28,2.78,2.9,1.89,1.52,1.81,3.06,1.48,.61,3.74
DECO.DIGG1,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DIGG2,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DIGG3,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DIGS2,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DIGS3,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DIGSINT,Gennode,MCC,2.8,5.04,5.81,6.01,6.11,5.53,2.26,1.02,2.05,.73,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DLRYP11,Gennode,MCC,2.87,5.19,5.96,6.16,6.26,5.7,2.28,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DLRYP12,Gennode,MCC,2.87,5.19,5.96,6.16,6.26,5.7,2.28,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.75
DECO.DPLER,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.ET.COMMC,Loadzone,MCC,2.92,5.29,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.ET.COMMF,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.FERMI2,Gennode,MCC,2.76,4.95,5.7,5.91,6.01,5.41,2.24,1.03,2.06,.74,1.18,.39,1.04,2.64,2.31,2.81,2.93,1.91,1.54,1.83,3.09,1.5,.62,3.76
DECO.FESC,Loadzone,MCC,2.92,5.29,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.FRMP111,Gennode,MCC,2.83,5.1,5.88,6.08,6.18,5.6,2.28,1.03,2.07,.74,1.18,.39,1.05,2.65,2.32,2.82,2.94,1.92,1.54,1.84,3.1,1.5,.62,3.77
DECO.FRMP112,Gennode,MCC,2.83,5.1,5.88,6.08,6.18,5.6,2.28,1.03,2.07,.74,1.18,.39,1.05,2.65,2.32,2.82,2.94,1.92,1.54,1.84,3.1,1.5,.62,3.77
DECO.FRMP113,Gennode,MCC,2.83,5.1,5.88,6.08,6.18,5.6,2.28,1.03,2.07,.74,1.18,.39,1.05,2.65,2.32,2.82,2.94,1.92,1.54,1.84,3.1,1.5,.62,3.77
DECO.FRMP114,Gennode,MCC,2.83,5.1,5.88,6.08,6.18,5.6,2.28,1.03,2.07,.74,1.18,.39,1.05,2.65,2.32,2.82,2.94,1.92,1.54,1.84,3.1,1.5,.62,3.77
DECO.GDRRF,Gennode,MCC,2.88,5.22,6,6.19,6.29,5.74,2.29,1.02,2.06,.74,1.17,.39,1.04,2.63,2.3,2.8,2.92,1.9,1.53,1.82,3.08,1.49,.61,3.76
DECO.GLE,Loadzone,MCC,2.92,5.28,6.07,6.27,6.37,5.82,2.31,1.03,2.06,.74,1.18,.93,1.04,2.64,2.3,2.8,2.92,1.91,1.53,1.83,3.09,1.5,.62,3.77
DECO.GRNWD1,Gennode,MCC,2.96,5.38,6.18,6.37,6.47,5.94,2.32,1.02,2.06,.73,1.17,1.63,1.04,2.62,2.29,2.79,2.91,1.9,1.52,1.82,3.07,1.49,.61,3.75
DECO.GWDP111,Gennode,MCC,2.96,5.38,6.18,6.37,6.47,5.94,2.32,1.02,2.06,.73,1.17,1.63,1.04,2.62,2.29,2.79,2.91,1.9,1.52,1.82,3.07,1.49,.61,3.75
DECO.GWDP112,Gennode,MCC,2.96,5.38,6.18,6.37,6.47,5.94,2.32,1.02,2.06,.73,1.17,1.63,1.04,2.62,2.29,2.79,2.91,1.9,1.52,1.82,3.07,1.49,.61,3.75
DECO.GWDP12,Gennode,MCC,2.96,5.38,6.18,6.37,6.47,5.94,2.32,1.02,2.06,.73,1.17,1.63,1.04,2.62,2.29,2.79,2.91,1.9,1.52,1.82,3.07,1.49,.61,3.75
DECO.HBP11,Gennode,MCC,3.22,5.92,6.76,6.94,7.04,6.57,2.43,1.04,2.08,.74,1.18,2.44,1.04,2.64,2.31,2.81,2.93,1.91,1.54,1.83,3.09,1.5,.62,3.79
DECO.HBRBCH1,Gennode,MCC,3.22,5.92,6.76,6.94,7.04,6.57,2.43,1.04,2.08,.74,1.18,2.44,1.04,2.64,2.31,2.81,2.93,1.91,1.54,1.83,3.09,1.5,.62,3.79
